,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
11,@Hikums pinging u on this,FALSE,1,neetanating,2/4/2017 5:26,FALSE,8.2775E+17,8.2775E+17,613456064,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",neetanating,0,FALSE,FALSE,NA,NA
12,"@SchuKnight @RohanWakefield awesome, that's pretty much spot on for our messaging to students &amp; grads!!! ...pinging @johnclegg",FALSE,0,SchuKnight,2/4/2017 5:00,FALSE,8.27703E+17,8.27743E+17,267933549,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ruthmcdavitt,0,FALSE,FALSE,NA,NA
13,@clay_s_s pinging @yoshimurajpg bc you're the only person I know who actually finished bsd rip,FALSE,1,clay_s_s,2/4/2017 4:49,FALSE,8.27732E+17,8.27741E+17,4297245254,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",clay_s_s,0,FALSE,FALSE,NA,NA
14,"@LinBrehmer closing my eyes to sleep &amp; still have ""R.O.C.K."" pinging around in my head &amp; a smile on my face. Thanks Lin, for everything.",FALSE,0,LinBrehmer,2/4/2017 4:49,FALSE,NA,8.27741E+17,403797522,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tm5Tom,0,FALSE,FALSE,NA,NA
15,"Good to see you back on the pitch for @EdinburghCityFC, @josh_walker89. Keep pinging them long diagonals. <U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+FE0F>… https://t.co/IElKg6bHUq",FALSE,4,NA,2/4/2017 4:42,TRUE,NA,8.27739E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aakashvinay17,1,FALSE,FALSE,NA,NA
16,@hpyrancher Sorry. I can't resist pinging Stone. ... Dean is 78. I think that book has been out for a couple years.,FALSE,0,hpyrancher,2/4/2017 4:24,FALSE,8.27734E+17,8.27735E+17,43561629,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SgtTim911,0,FALSE,FALSE,NA,NA
17,"RT @UnrankedSmurfs: Meanwhile, the ADC is spam pinging and flaming like his life depends on it. #LeagueofLegends https://t.co/8nwRaz2fHe",FALSE,0,NA,2/4/2017 4:24,FALSE,NA,8.27735E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jimmy2447,2,TRUE,FALSE,NA,NA
18,Excuse needs must affiliates immediate purpose tagging and pinging techniques?: xTFqSfcLo https://t.co/7rdCYKUn0D,FALSE,0,NA,2/4/2017 4:19,FALSE,NA,8.27733E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",BenjaminHaley4,0,FALSE,FALSE,NA,NA
19,i'm not making them an actual character but Grwol the blind revenant Valiant for my ref (pinging @idaida_ovo bc thi… https://t.co/TzQL51U3k9,FALSE,0,NA,2/4/2017 4:17,TRUE,NA,8.27733E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mrbangver2,0,FALSE,FALSE,NA,NA
20,@The_IndieHub followed you for less than one day. Can't stand direct messages pinging my phone. Sorry.,FALSE,0,The_IndieHub,2/4/2017 4:08,FALSE,NA,8.27731E+17,2270194332,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",claymonster,0,FALSE,FALSE,NA,NA
21,Stop pinging,FALSE,0,NA,2/4/2017 4:00,FALSE,NA,8.27729E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tylerr_ball,0,FALSE,FALSE,NA,NA
22,RT @emilywalkeer: Pinging? https://t.co/KJR1B935lo,FALSE,0,NA,2/4/2017 3:55,FALSE,NA,8.27727E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Siana182_,1,TRUE,FALSE,NA,NA
23,Pinging? https://t.co/KJR1B935lo,FALSE,1,NA,2/4/2017 3:41,FALSE,NA,8.27724E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emilywalkeer,1,FALSE,FALSE,NA,NA
24,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 3:39,FALSE,NA,8.27723E+17,NA,"<a href=""http://xxx.nosite.com"" rel=""nofollow"">CustomClientTest</a>",Ne0kil,14,TRUE,FALSE,NA,NA
25,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 3:35,FALSE,NA,8.27722E+17,NA,"<a href=""http://plumpjuice.com"" rel=""nofollow"">zero_cool44_y0</a>",zero_cool44,14,TRUE,FALSE,NA,NA
26,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 3:33,FALSE,NA,8.27722E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",adrsh11,14,TRUE,FALSE,NA,NA
27,"RT @LukeTheMoon: Here I am, yet again, pinging",FALSE,0,NA,2/4/2017 3:31,FALSE,NA,8.27721E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",conorrheadley,1,TRUE,FALSE,NA,NA
28,"Loool what is this new thing, putting a dummy in ur mouth when ur pinging hahahaha",FALSE,1,NA,2/4/2017 3:13,FALSE,NA,8.27717E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_laurenbacon,0,FALSE,FALSE,NA,NA
29,"Here I am, yet again, pinging",FALSE,1,NA,2/4/2017 3:08,FALSE,NA,8.27716E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LukeTheMoon,1,FALSE,FALSE,NA,NA
30,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:53,FALSE,NA,8.27712E+17,NA,"<a href=""http://dmhweb.org"" rel=""nofollow"">myContestTweeter</a>",danielmhalvers1,14,TRUE,FALSE,NA,NA
31,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:52,FALSE,NA,8.27711E+17,NA,"<a href=""https://docs.google.com/forms/d/1MViYspGCLaaw6SttR6SckUabNvgx8lTbSKOJe7RYeMc/viewform"" rel=""nofollow"">CB_Bot</a>",ContestBasket,14,TRUE,FALSE,NA,NA
32,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:51,FALSE,NA,8.27711E+17,NA,"<a href=""http://thelifeofajoblessguy.blogspot.ca/"" rel=""nofollow"">Twitter bot try</a>",DoubleDandT,14,TRUE,FALSE,NA,NA
33,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:46,FALSE,NA,8.2771E+17,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">queuestreamer7</a>",SJB6991,14,TRUE,FALSE,NA,NA
34,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:42,FALSE,NA,8.27709E+17,NA,"<a href=""https://lightnovelstranslations.com/re-master-magic/chapter-59-nightfall/"" rel=""nofollow"">testingboty</a>",Gooseyboy1234,14,TRUE,FALSE,NA,NA
35,the day where I had a fight with meta because of mimical pinging him,FALSE,0,NA,2/4/2017 2:41,FALSE,NA,8.27709E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BrodieLOL789,0,FALSE,FALSE,NA,NA
36,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:39,FALSE,NA,8.27708E+17,NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">Etribrokken</a>",chickendorukwom,14,TRUE,FALSE,NA,NA
37,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:36,FALSE,NA,8.27707E+17,NA,"<a href=""https://www.imdiegoestevez.me"" rel=""nofollow"">Giveaway55123</a>",only0dallas,14,TRUE,FALSE,NA,NA
38,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:36,FALSE,NA,8.27707E+17,NA,"<a href=""http://example.com"" rel=""nofollow"">Contest Enter </a>",supnamesjosh,14,TRUE,FALSE,NA,NA
39,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:32,FALSE,NA,8.27706E+17,NA,"<a href=""http://www.ells1231.co.uk"" rel=""nofollow"">TwitterSearchTest1231</a>",elliotmmurray,14,TRUE,FALSE,NA,NA
40,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:31,FALSE,NA,8.27706E+17,NA,"<a href=""Http://sorryforfirsttime.xyz"" rel=""nofollow"">Chereji6</a>",cherejiofficial,14,TRUE,FALSE,NA,NA
41,RT @b0ttem: ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,0,NA,2/4/2017 2:31,FALSE,NA,8.27706E+17,NA,"<a href=""http://www.abcd.com"" rel=""nofollow"">Twitter-Bot-Thing</a>",MSueberg,14,TRUE,FALSE,NA,NA
42,ROLL UP! Follow me + Retweet to win Corbyn's mit-pinging Territorial Pastrami Terror #Contest https://t.co/FrMKkqcq4h,FALSE,2,NA,2/4/2017 2:28,FALSE,NA,8.27705E+17,NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",b0ttem,14,FALSE,FALSE,NA,NA
43,@BigRichie2004 Have you tried using command prompt and pinging twitch? Maybe some of your requests are getting lost in transit,FALSE,0,BigRichie2004,2/4/2017 2:27,FALSE,8.27697E+17,8.27705E+17,439160027,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",Majora_12,0,FALSE,FALSE,NA,NA
44,"@ilyclycly Hey Em thanks for the quick reply, would you mind pinging me in DM so we could chat? mine is open",FALSE,0,ilyclycly,2/4/2017 2:21,FALSE,NA,8.27704E+17,214972715,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",rm3804,0,FALSE,FALSE,NA,NA
45,RT @joegooding: .@itsmepanda1 @doritmi Are we now back to Traveling Dorit? Cell phone pinging? Michigan to Florida in 4 mins flat. Wow... h…,FALSE,0,NA,2/4/2017 2:15,FALSE,NA,8.27702E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Heather91851313,5,TRUE,FALSE,NA,NA
46,"Peacefully sleeping in bed n wake up to my phone going crazy ringing n pinging, can a gal not get some beauty sleep on a Friday night??<ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2/4/2017 2:04,FALSE,NA,8.27699E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lyds1572,0,FALSE,FALSE,NA,NA
47,MSNBC: Executive order has been pinging through various parts. At any time the https://t.co/abTFxdXgAm,FALSE,0,NA,2/4/2017 2:04,FALSE,NA,8.27699E+17,NA,"<a href=""http://mocksession.com"" rel=""nofollow"">FoxNewsTrumpBot</a>",NEWS_GRABBER,0,FALSE,FALSE,NA,NA
48,@clay_s_s also thanks for pinging me keeping me on mp100 speed dial,FALSE,1,clay_s_s,2/4/2017 1:46,FALSE,8.27681E+17,8.27695E+17,4297245254,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hikums,0,FALSE,FALSE,NA,NA
49,RT @vaxchoiceeast: LOL. Dorit's cell phone seems to have ridiculous pinging range... https://t.co/tetFbJtEA4,FALSE,0,NA,2/4/2017 1:30,FALSE,NA,8.27691E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Heather91851313,2,TRUE,FALSE,NA,NA
50,dunno why i tweeted about kooky it's a load of shite i just wanted to be pinging surrounded by dance music,FALSE,2,NA,2/4/2017 1:22,FALSE,NA,8.27689E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jess_whorwood,0,FALSE,FALSE,NA,NA
51,RT @sharondigi: @MarcusC22973194 Don't forget the Devos..Trump Tower secret server pinging Spectrum Health...a Devos entity.,FALSE,0,NA,2/4/2017 1:15,FALSE,NA,8.27687E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",diannkappy,4,TRUE,FALSE,NA,NA
52,RT @sharondigi: @MarcusC22973194 Don't forget the Devos..Trump Tower secret server pinging Spectrum Health...a Devos entity.,FALSE,0,NA,2/4/2017 1:00,FALSE,NA,8.27683E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Robin69262653,4,TRUE,FALSE,NA,NA
53,RT @sharondigi: @MarcusC22973194 Don't forget the Devos..Trump Tower secret server pinging Spectrum Health...a Devos entity.,FALSE,0,NA,2/4/2017 0:58,FALSE,NA,8.27683E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alexespind,4,TRUE,FALSE,NA,NA
54,@dekumoe *is pinging Jeremy to cosplay Shinji*,FALSE,0,dekumoe,2/4/2017 0:39,FALSE,8.27678E+17,8.27678E+17,517289443,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",MGShogun,0,FALSE,FALSE,NA,NA
55,pinging @Hikums,FALSE,1,clay_s_s,2/4/2017 0:39,FALSE,8.27677E+17,8.27678E+17,4297245254,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",clay_s_s,0,FALSE,FALSE,NA,NA
56,RT @vaxchoiceeast: LOL. Dorit's cell phone seems to have ridiculous pinging range... https://t.co/tetFbJtEA4,FALSE,0,NA,2/4/2017 0:32,FALSE,NA,8.27676E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itsmepanda1,2,TRUE,FALSE,NA,NA
57,"RT @MarcusWaterall8: @robstaves1 John Fleck knows how it feels to be MASSIVE,He doesn't know the meaning of small,John Flecks magic, He can…",FALSE,0,NA,2/4/2017 0:32,FALSE,NA,8.27676E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",robstaves1,1,TRUE,FALSE,NA,NA
58,"@robstaves1 John Fleck knows how it feels to be MASSIVE,He doesn't know the meaning of small,John Flecks magic, He can't stop pinging a ball",FALSE,2,robstaves1,2/4/2017 0:25,FALSE,8.27673E+17,8.27674E+17,764099004,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MarcusWaterall8,1,FALSE,FALSE,NA,NA
59,@Hbangers @premierleague I don't see him pinging 50 yard passes either foot? Ross can literally do anything Alli can do + more,FALSE,9,Hbangers,2/4/2017 0:10,FALSE,8.2767E+17,8.27671E+17,895409474,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RyanG78_,0,FALSE,FALSE,NA,NA
60,RT @Uberflip: Pinging all #torontostartup's! #Sartupong is back March 14 @SPiN_Toronto. All proceeds being donated to @SickKids https://t.c…,FALSE,0,NA,2/3/2017 23:58,FALSE,NA,8.27668E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SPiN_Toronto,1,TRUE,FALSE,NA,NA
61,"RT @VintageMarieeee: Phyllis' date is pinging off the charts. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> He's a hot mess, she thinks he's better looking in person. Billy in lurk mo…",FALSE,0,NA,2/3/2017 23:55,FALSE,NA,8.27667E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",calhoun_monique,9,TRUE,FALSE,NA,NA
62,"that feeling where your super busy, and your phone keeps pinging cause you get notifications",FALSE,2,NA,2/3/2017 23:46,FALSE,NA,8.27665E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JKapitanovic,0,FALSE,FALSE,NA,NA
63,@soundstoryuk Evening.. Good tunes... Sorry if you're pinging wildly! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,FALSE,1,soundstoryuk,2/3/2017 23:44,FALSE,8.27664E+17,8.27664E+17,747559554,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sherrillsemple,0,FALSE,FALSE,NA,NA
64,Pinging all #torontostartup's! #Sartupong is back March 14 @SPiN_Toronto. All proceeds being donated to @SickKids… https://t.co/htDW4ljgp6,FALSE,1,NA,2/3/2017 23:43,TRUE,NA,8.27664E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",Uberflip,1,FALSE,FALSE,NA,NA
65,@DrFishSG How do we get to pinging on spawning bloater aggregations in Lake Michigan?  I have gear but our boats are usually iced in.,FALSE,0,DrFishSG,2/3/2017 23:38,FALSE,8.27505E+17,8.27663E+17,947986136,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dmwarn111,0,FALSE,FALSE,NA,NA
66,"RT @VintageMarieeee: Phyllis' date is pinging off the charts. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> He's a hot mess, she thinks he's better looking in person. Billy in lurk mo…",FALSE,0,NA,2/3/2017 23:38,FALSE,NA,8.27663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ECabriseau,9,TRUE,FALSE,NA,NA
67,NBC NIGHTLY NEWS-LESTER HOLT &amp; CO AGAIN PINGING ON THE POTUS ABOUT THE FLAWED DODD/FRANK LAW! JUST ANOTHER FAILURE LAW BY FAILURE OBAMA!!!,FALSE,0,NA,2/3/2017 23:36,FALSE,NA,8.27662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RB2414FL,0,FALSE,FALSE,NA,NA
68,RT @DiscloseTV: DND Closes Case Of #Mysterious Pinging Sounds In Canada's #Arctic With A New Explanation #Canada https://t.co/mTsM7zLInd,FALSE,0,NA,2/3/2017 23:32,FALSE,NA,8.27661E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BadCompany709,4,TRUE,FALSE,NA,NA
69,"@ShinyZigzagoon Every game I've had so far has been a cluster fuck of no one pinging, other lanes feeding, and always one guy who (c)",FALSE,0,ShinyZigzagoon,2/3/2017 23:27,FALSE,8.27659E+17,8.2766E+17,3024531536,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",KingKiggles,0,FALSE,FALSE,NA,NA
70,@OwenzKillz @TheDivisionBlog ahaha I was like pinging everyone for key n retweeted this blog and bhom they posted keys <U+263A>,FALSE,0,OwenzKillz,2/3/2017 23:25,FALSE,8.27659E+17,8.27659E+17,2317422076,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",abhilashpavan,0,FALSE,FALSE,NA,NA
71,@HoosAGoodBoy Heh :) Twitter provides an outlet for the constant dialog pinging in my head <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>,FALSE,1,HoosAGoodBoy,2/3/2017 23:10,FALSE,8.27653E+17,8.27655E+17,573210588,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",QueenKika,0,FALSE,FALSE,NA,NA
72,LOL. Dorit's cell phone seems to have ridiculous pinging range... https://t.co/tetFbJtEA4,FALSE,6,NA,2/3/2017 23:06,FALSE,NA,8.27654E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vaxchoiceeast,2,FALSE,FALSE,NA,NA
73,RT @joegooding: .@itsmepanda1 @doritmi Are we now back to Traveling Dorit? Cell phone pinging? Michigan to Florida in 4 mins flat. Wow... h…,FALSE,0,NA,2/3/2017 23:03,FALSE,NA,8.27654E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vaxchoiceeast,5,TRUE,FALSE,NA,NA
74,DND Closes Case Of #Mysterious Pinging Sounds In Canada's #Arctic With A New Explanation #Canada. #Woo (https://t.co/nkWQ3NiGfI),FALSE,0,NA,2/3/2017 23:01,FALSE,NA,8.27653E+17,NA,"<a href=""http://www.GlobalSunTimes.com"" rel=""nofollow"">globalsuntimes</a>",GlobalSunTimes,0,FALSE,FALSE,NA,NA
75,"RT @VintageMarieeee: Phyllis' date is pinging off the charts. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> He's a hot mess, she thinks he's better looking in person. Billy in lurk mo…",FALSE,0,NA,2/3/2017 22:58,FALSE,NA,8.27652E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",siyanu2,9,TRUE,FALSE,NA,NA
76,"RT @UnrankedSmurfs: Meanwhile, the ADC is spam pinging and flaming like his life depends on it. #LeagueofLegends https://t.co/8nwRaz2fHe",FALSE,0,NA,2/3/2017 22:54,FALSE,NA,8.27651E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Revanoxa,2,TRUE,FALSE,NA,NA
77,"RT @VintageMarieeee: Phyllis' date is pinging off the charts. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> He's a hot mess, she thinks he's better looking in person. Billy in lurk mo…",FALSE,0,NA,2/3/2017 22:51,FALSE,NA,8.27651E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MsShashaDaniels,9,TRUE,FALSE,NA,NA
78,RT @DiscloseTV: DND Closes Case Of #Mysterious Pinging Sounds In Canada's #Arctic With A New Explanation #Canada https://t.co/mTsM7zLInd,FALSE,0,NA,2/3/2017 22:45,FALSE,NA,8.27649E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PeterBa82304711,4,TRUE,FALSE,NA,NA
79,Pinging @theAaronPinto https://t.co/bOewcRIKjb,FALSE,1,NA,2/3/2017 22:42,FALSE,NA,8.27648E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AnniePinto1,0,FALSE,FALSE,NA,NA
80,RT @DiscloseTV: DND Closes Case Of #Mysterious Pinging Sounds In Canada's #Arctic With A New Explanation #Canada https://t.co/mTsM7zLInd,FALSE,0,NA,2/3/2017 22:41,FALSE,NA,8.27648E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pitbullmomof4,4,TRUE,FALSE,NA,NA
81,RT @joegooding: .@itsmepanda1 @doritmi Are we now back to Traveling Dorit? Cell phone pinging? Michigan to Florida in 4 mins flat. Wow... h…,FALSE,0,NA,2/3/2017 22:39,FALSE,NA,8.27648E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IssyHatt,5,TRUE,FALSE,NA,NA
